idx,English,Darija,MSA
13424,"Coffee with cream and sugar, please.",قهوة بالكريما والسكر، عافاك.,قهوة مع القشدة والسكر ، من فضلك .
13425,Could you say that again?,تقدر تقولو مرة اخرى؟,هلا قلت ذلك مرة أخرى ؟
13427,The price is ten marks.,هادي عشرة مارك.,السعر عشرة ماركات .
13431,"Yes, I'm gone. I visited Tokyo and Kyoto on tour two years ago.",نعم، راه كنت تما. زرت طوكيو وكيوطو فجولة عامين هادي.,نعم ، لقد ذهبت . لقد زرت طوكيو وكيوتو في جولة منذ عامين .
13432,"Take me to my hospital, please.",اديني للسبيطار، عافاك.,خذي إلى مستشفي ، من فضلك .
13434,Is there air conditioning?,واش كاين تكييف الهواء؟,هل يوجد تكييف هواء ؟
13435,Please let us know by message when one opens.,عافاك عيط لينا منين تخوى شي واحدة.,من فضلك أبلغنا برسالة عندما يفتح أحدها .
13436,I think there are errors in the invoice.,كنضن كاين شي أخطاء فالفاتورة.,أعتقد أن هناك أخطاءً في الفاتورة .
13438,Please give me this.,عافاك اعطيني هاداك.,من فضلك اعطني هذه .
13439,What is the total price?,شحال فكل شي؟,كم إجمالي السعر ؟
13440,It is the seventh gate.,راها البوابة سبعة.,إنها البوابة السابعة .
13442,Does the price include lunch?,واش التمن داخل فيه الغدا؟,هل يشمل السعر الغداء ؟
13444,Are you Scottish?,واش انتا أسكتلندي؟,هل أنت اسكتلندي ؟
13446,"Three two one two. Wait a second, okay? I want to send you something here. Sorry .",تلاتة-جوج-واحد-جوج. اتسنى واحد الثانية، واخا؟ غادي نصيفط ليك شي حاجة هنا. اسمح ليا.,ثلاثة اثنان واحد اثنان . انتظر ثانية ، حسنا ؟ أريد أن أرسل لك شيئاً هنا . معذرة .
13447,where will you live ?,فين ناوي تبقى؟,أين ستقيم ؟
13448,"Human relations are important in any society, but the Japanese seem to strive hard to maintain and deepen good relations.",العلاقات الإنسانية مهمة فكل مجتمع، بلحاق اليابان مازال كتحاول كل جهدا باش تحافظ على علاقات مزيانة وتوسعها.,العلاقات الإنسانية مهمة في أي مجتمع ، لكن يبدو أن اليابانيين يسعون بجد إلى الحفاظ على العلاقات الطيبة وتعميقها .
13451,This is ninety-nine yen. Please exchange it for dollars.,هنا تسعود وتسعين ين. عافاك صرفهوم كلهوم بالدولار.,هذا مبلغ تسعون وتسعة ين . من فضلك بدلها دولارات .
13455,I want a camera with a large focal capacity.,بغيت شي حاجة عريضة.,أريد كاميرا بسعة بؤرة كبيرة .
13456,In the A. with me . bad .,في ال إي بي سي.,في الـ أيه . بي . سي .
13461,Where is the store that sells boxes?,فين كاين شي محل كيبيع العلب؟,أين المتجر الذي يبيع الصناديق ؟
13471,One hundred and thirty-five yen to one dollar.,مية وخمسة وتلاتين ين لكل دولار.,مائة وخمسة وثلاثون ين للدولار الواحد .
13472,This is fine. You have to change at forty-fourth street.,هادا مزيان . خاصك تبدل فالشارع ربعة وربعين.,هذا على ما يرام . عليك التغيير في الشارع أربعة وأربعون .
13474,"Can I have the key, please?",نقدر ناخد الساروت، عافاك؟,هل يمكن أن أخذ المفتاح ، من فضلك ؟
13475,Do you have any mini CDs?,واش عندك شي سوبكومباكتس؟,هل لديكم أية اسطوانات مصغرة ؟
13476,Short skirts and long boots will never go out of style.,الصايات قصار مع ليبوط ماعمرهوم يخرجو على الموضة.,إن الجونلات القصيرة ومعها الأحذية الطويلة لن تنقضي موضتها .
13477,Can I speak to the manager?,يمكن ليا نهضر مع المسؤول؟,هل أستطيع التحدث مع المدير ؟
13479,"We have large, medium, and small sizes.",عندنا كبير، متوسط، وصغير الحجم.,"لدينا أحجام كبيرة , ومتوسطة ، وصغيرة ."
13480,Why is the price different from what is on the counter?,علاش الطريفة ديالك مختلفة على اللي فالعداد؟,لماذا يختلف السعر عن الموجود في العداد ؟
13481,Do you know a skilled gynecologist?,واش كتعرف شي طبيب نساء مزيان؟,هل تعرف طبيب نساء ماهر ؟
13482,I want a dryer.,بغيت مجفف.,أريد مجفف .
13483,How much is the total?,ديالاش هاد المبلغ؟,إلى كم يصل الإجمالي ؟
13484,Can I see this?,يمكن لي نشوف هادا؟,هل يمكن أن أرى هذا ؟
13487,I promised myself that I would recognize you when I saw you.,واعدت نفسي غير نشوفك، غادي نتعرف عليك.,لعد تعهدت لنفسي بأنني سوف أتعرف عليك عندما أراك .
13488,What's been happening recently?,اشنو وقع مؤخرا؟,ما الذي كان يحدث منذ الفترة الأخيرة ؟
13489,"So, what are your plans for the rest of the trip?",إذن، اشنوهوما المشاريع ديالك لباقي الرحلة؟,هكذا ، إذن ما هي خططك لما تبقى من الرحلة ؟
13490,"In this case, there is a table of tariffs next to the driver's seat.",فهاد الحالة، نقدرو نلقاو لائحة دلأتمنة احدى مقعد السائق.,"في هذه الحالة , يوجد جدول بالتعريفات بجوار مقعد السائق ."
13491,I want to buy two of your distinctive regional goods.,بغيت نشري واحدة من الاختصاصات الإقليمية ديالك.,أريد أن أشتري اثنين من بضائعكم الإقليمية المميزة .
13492,I don't feel good. Can you direct me to a doctor?,ماكنحسشي براسي مزيان، يمكن ليك تعيط للطبيب؟,لا أشعر بحالة جيدة . هل ترشدني إلى طبيب ؟
13493,Good . We shall wait .,واخا. غادي نتسناو.,حسنا . سوف ننتظر .
13495,"Well, I'm a freshman at ABC University and I'm going to major in history.",إيوا، أنا طالب فجامعة إي بي سي. أنا متخصص فالتاريخ.,حسنا ، إنني طالب مستجد بجامعة (ايه . بي . سي) وأنا سأتخصص في التاريخ .
13496,Where can I find a watch shop?,فين يمكن لي نلقى محل بيع السوايع؟,أين يمكن أن أجد محل ساعات ؟
13497,"Mr. Sato is in a meeting now, Mr. Tanaka. Can he return your call later?",السيد طاناكا، السيد ساطو فاجتماع دابا. يقدريعاود الاتصال بيك؟,إن السيد ساتو في اجتماع الآن يا مستر تاناكا ، هل يمكن أن يرد على مكالمتك فيما بعد ؟
13498,When will we arrive?,وقتاش غادي نوصلو؟,متى سنصل ؟
13499,What is the estimated time of arrival?,اشناهوا الوقت المقر للوصول؟,ما هو الميعاد المقدر للوصول ؟
13502,"Pass me the potatoes, please.",اعطيني البطاطا، عافاك.,مرر لي البطاطس ، من فضلك .
13504,Your party is on now. Help yourself .,الشخص الآخر راه في الخط. تفضل.,حفلتك مقامة الآن . تفضل .
13506,Will I have to return to your office again?,واش خاصني عاود نرجع للمكتب ديالك؟,هل سأضطر إلى العودة إلى مكتبكم ثانية ؟
13507,Who is the conductor?,شكون هو القائد؟,من هو المحصل ؟
13514,Please show me the return ticket.,عافاك وريني تذكرة الرجوع ديالك.,من فضلك ارني تذكرة العودة .
13515,Is there a nightly entertainment show?,واش كاين شي عرض فالطابق الأرضي؟,هل هناك عرض ترفيهي ليلي ؟
13518,Can I check my valuables with you?,يمكن لي نتحقق معاك من الأغراض الغالية ديالي؟,هل يمكنني أن أفحص بمنقولاتي الثمينة معك ؟
13520,Are there any messages for me?,واش كاين شي رسائل ليا؟,هل توجد رسائل لي ؟
13521,Red wine ? Isn't it bitter in taste?,خمر احمر؟ ماشي مر؟,نبيذ أحمر ؟ أليس مر الطعم .
13523,Don't worry . Some customers have tried it.,ما اتقلقش. غير شي كلييان قيسوه.,لا تقلق . لقدر جربها بعض الزبائن .
13524,I admire your linguistic skill.,أنا معجب بزاف بقدراتك اللغوية.,لقد أعجبت بمهارتك اللغوية .
13526,I left my dating notebook in the phone booth.,نسيت مذكرتي فمخدع التلفون.,لقد تركت مفكرة مواعدي في كابينة الهاتف .
13528,The bathroom flush is not working.,المرحاض ما منظفش.,سيفون الحمام لا يعمل .
13530,do you have an account ?,واش عندك احساب؟,هل لديك حساب ؟
13531,Are you going to go look for my mask with me?,تمشي تقلب معايا على القناع ديالي؟,هل ستذهب لتبحث عن قناعي معي ؟
13532,How long do we need to walk from here to the city hall?,شحال دلوقت نديرو على رجلينا من هنا لسيتي هال؟,كم من الوقت نحتاج للذهاب مشياً من هنا إلى مبنى البلدية ؟
13534,I feel airsick.,كنحس بالدوخة ديال الجو.,أشعر بدوار الجو .
13538,Where does the circular bus leave from?,منين كينطلق الطوبيس نافيط؟,من أين يغادر الأوتوبيس الدائري ؟
13545,"We apologize for this inconvenience. I'll get you another one, right away.",احنا متأسفين على الإزعاج. غادي نجيب ليك واحد آخر، فالحال.,نأسف لهذا الإزعاج . سوف أحضر لك أخرى ، في الحال .
13546,"One moment, please, I will bring it to you. there he is .",واحد الشوية عافاك. غادي نعطيه ليك. ها انتا.,لحظة واحدة ، من فضلك ، سوف أحضره لك . ها هو .
13547,Take this medicine after every meal when the pain increases.,خود هاد الدوا من بعد كل وجبة منين يضرك بزاف.,خذ هذا الدواء بعد كل وجبة عندما يزداد الألم .
13548,Can this be confirmed over the phone?,نقدر نعاو نأكد بالتلفون؟,هل يمكن تأكيد ذلك عبر الهاتف ؟
13549,"I tried, but I couldn't achieve my dream.",حاولت، بلحاق ما قدرتش نحقق الحلم ديالي.,لقد حاولت ، لكن لم أستطع تحقيق حلمي .
13550,She placed the money in a special decorated envelope called shogibukuro.,حط الفلوس فواحد الجوا خاص مزووق اسميتو شوغيبوكورو.,لقد وضعت المال في مظروف خاص مزين يسمى شوجيبوكورو .
13551,Where is the men's section?,فينا هو جناح الرجال؟,أين قسم الرجال ؟
13553,Someone has been injured.,شي واحد مجروح.,لقد أصيب شخص .
13556,You didn't say this. You are exaggerating the price you charge me.,ما قولتيش هاد الشي. كتحملني فوق جهدي.,إنك لم تقل هذا . أنت تبالغ في السعر الذي تتقاضاه مني .
13558,"Come on, Mitsuru.",ادخل، ميتسورو.,هيا ، يا ميتسورو .
13561,I want an external line.,محتاج لشي خط خارجي.,أريد خطا خارجياً .
13563,This is the address where I can be contacted.,هادا عنوان الاتصال بيا.,هذا هو العنوان الذي يمكن الاتصال بي فيه .
13565,I want to set an appointment.,بغيت ناخد موعد.,أريد تحديد ميعاد .
13566,Why not stop here for a limited time?,علاش ما توقفشي شوية؟,لما لا تتوقف هنا لفترة محدودة ؟
13567,Were meals served?,واش قدموا الوجبات؟,هل قُدمت الوجبات ؟
13569,I booked a double.,احجزت واحدة مزدوجة.,لقد حجزت مزدوجاً .
13570,I lost my wallet somewhere in the department store.,ضيعت بزطامي فشي بلاصة فهاد المركز التجاري.,لقد فقدت محفظتي في مكان ما من المتجر متعدد الأقسام .
13573,it's free .,راه بالمجان.,إنه مجاني .
13574,"I want a large, fuel-efficient car.",بغيت طوموبيلة كبيرة اقتصادية فالليسونس.,أريد سيارة كبيرة الحجم اقتصادية في استهلاك الوقود .
13576,"Can I have two tickets for the night, please?",واش نقدر نحصل على جوج تذاكر لهاد الليلة، عافاك؟,هل يمكن أن أخذ تذكرتان لليلة ، من فضلك ؟
13577,I want to request a service.,نطلب منك واحد الطليبة.,أريد أن أطلب خدمة .
13578,Please tell me where to get off.,عافاك اخبرني منين يكون الهبوط.,من فضلك قل لي أين أنزل .
13579,Say that again.,عاود قولو.,قل هذا ثانية .
13580,"Excuse me, can I take a picture of you please?",اسمح ليا، نقدر ناخد تصويرتك، عافاك؟,عفوا ، هل التقط لك صورة من فضلك ؟
13581,One of the men was tall and the other was short.,واحد الراجل كان طويل والاخر كان قصير.,أحد الرجلين كان طويلاً والآخر كان قصيراً .
13583,"Hamburger and stew on the right side and a salad, please.",واحد الهامبرغر مرفوق بطاجين وشلاضة، عافاك.,هامبورجر ويخني على الجانب الأيمن وسلطة ، من فضلك .
13585,Yesterday I applied for a passport.,قدمت البارح طلب باش ناخد جواز السفر.,تقدمت بطلب بالأمس للحصول على جواز سفر .
13587,Tasty .,بنين.,لذيذ .
13588,"March 23rd, please.",تلاتة وعشرين مارس، عافاك.,مارس الثالث والعشرين ، من فضلك .
13589,My necklace was stolen while I was outside my room.,السلسلة ديالي تسرقات لي من الغرفة منين كنت غايب عليها.,سرقت قلادتي بينما كنت خارج غرفتي .
13591,"To Park Avenue, number two-eighty, please.",شارع بارك، رقم اتناين وتمانين، عافاك.,"إلى شارع بارك أفنيو رقم اثنان ثمانون , من فضلك ."
13593,My seat broke. It doesn't go down.,المقعد ديالي تهرس. ما نقدرش نميلو.,كسر مقعدي . فهو لا يهبط .
13595,Could you please ask her to call me on my account?,يمكن ليك تسولها تتصل بيا؟,هلا طلبت منها أن تتصل بي على حسابي ؟
13597,Give me a receipt please.,عافاك اعطيني التوصيل.,اعطني إيصال من فضلك .
13599,Is it possible to paint the living room again?,واش ممكن اتدار شي طبقة جديدة دالصباغة فهاد الصالون؟,هل من الممكن طلاء غرفة المعيشة من جديد ؟
13601,"Wave to a taxi to stop, will you?",شيير لشي طاكسي باش يوقف، واخا؟,لوح إلى تاكسي كي يقف ، هلا فعلت ذلك ؟
13603,I want to send this by air mail.,بغيت نصيفط هادا بالطيارة.,أريد إرسال ذلك بالبريد الجوي .
13605,It could be the spark plug.,تقدر تكون ابريكة.,يمكن أن تكون شمعة الإشعال .
13606,Could you please let me know when the match starts?,يمكن ليك تقول لي وقتاش غادي يبدا اللعب؟,هلا أبلغتني عندما تبدأ المباراة ؟
13609,Wondering what I can get from it?,كنتساءل اشنو خاصني نجيب ليه؟,أتساءل عما يمكنني أن أحصل عليه منه ؟
13610,Do you have the same piece in a larger size?,عندك هادا فحجم كبير؟,هل لديكم نفس القطعة بحجم أكبر ؟
13611,I want some aspirin.,بغيت شي أسبيرين.,أريد بعض الأسبرين .
13613,You must take a bus.,خاصك تشد شي طوبيس.,يجب عليك أن تستقل حافلة .
13614,Please show me where the bank is.,عافاك وريني فين كاينة البانكا.,من فضلك أرني أين البنك .
13615,Hold the cheese.,هاك الجبن.,امسك بالجبن .
13617,Could you book me a room for the night?,تقدر تحجز ليا غرفة لهاد الليلة؟,هلا حجزت لي غرفة لليلة ؟
13619,My temperature is high .,فيا الحمى.,حرارتي مرتفعة .
13621,We would like to invite you to dinner tomorrow evening.,بغينا نعرضوك للعشا غدا فالعشية.,نود أن ندعوك للعشاء مساء الغد .
13622,"Oh, it's about a five-minute walk.",أوه، تقريبا خمسة دقايق خلفة.,أوه ، مسافة مشي تستغرق حوالي الخمس دقائق .
13623,"So, give me two reserved seats, grade C, on the 20th.",إذن، عافاك اعطيني جوج بلايص سي محجوزين لنهار عشرين.,إذن ، اعطني مقعدين محجوزين درجة (سي) ، يوم العشرين .
13624,Do you have a subway map?,عندك شي خريطة ديال قطار الأنفاق؟,هل لديك خريطة لمترو الأنفاق ؟
13628,"Well, see you then.",واخا. إذن نشوفك من بعد.,حسنا ، إلى اللقاء إذن .
13629,I have a room ready for you at the Grand Hotel. Can you go there?,عندي غرفة واجدة ليك فغراند أوطيل. تمشي لتما؟,لدي غرفة جاهزة لك في جراند هويتل . هل تستطيع الذهاب إلى هناك ؟
13630,This is room twelve thirteen.,هادي الغرفة اطناش اطلطاش.,هذه هي الغرفة اثني عشر ثلاثة عشر .
13631,I want to book a trip to Japan on May 15th.,بغيت ندير واحد الحجز لطوكيو لاخمسطاش ماي.,أريد أن أحجز رحلة إلى اليابان في الخامس عشر من مايو .
13632,I am staying with friends.,غادي نبقى مع اصحابي.,إنني أقيم مع أصدقاء .
13633,When do you start serving lunch?,معاياش غادي تبدا تسربي العشا؟,متى تبدأون في تقديم الغداء ؟
13635,I have pain in my right eye.,عيني دليمين كتضرني.,عندي ألم في عيني اليمنى .
13637,"Could you put me in touch with the sales department, please?",واش تقدرتدوزني لقسم المبيعات، عافاك؟,هلا أوصلتني إلى إدارة المبيعات ، من فضلك ؟
13638,What seats are available? I want to sit in the middle.,اشناهي البلايص اللي كاينة؟ بغيت نجلس فشي بلاصة فالوسط.,ما هي المقاعد المتاحة ؟ أريد الجلوس في المنتصف .
13639,Do you have a Japanese translator?,واش عندك شي مترجم ياباني؟,هل لديكم مترجم ياباني ؟
13642,can I come over ?,واش نقدر نمشي فحالي؟,هل أستطيع المرور ؟
13644,I want a frying pan.,بغيت شي ماقلة.,أريد مقلاة .
13645,Where will we leave?,منين غادي ننطالقو؟,من أين سوف نغادر ؟
13646,Does this train pass through El Paso?,هاد القطار كيدوز على إيل باسو؟,هل يمر هذا القطار بإل باسو ؟
13647,"Well, this is a nice journey of discovery.",واخا، هاد الجولة الاستكشافية ازوينة.,حسنا ، إن رحلة الاستكشاف هذه لطيفة .
13648,Can I take some eye moisturizer?,واش نقدر نحصل على لوشن للعين؟,هل يمكن أن أخذ بعضاً من مرطب العين ؟
13649,Is there a connection to the flight to Glasgow?,واش كاين شي اتصال مع غلاسكو؟,هل توجد وصلة في الرحلة إلى جلاسجو ؟
13651,"Could you cash these traveler's checks, please?",تقدر تصرف هاد الشيكات السياحية، عافاك؟,"هلا صرفت هذه الشيكات السياحة , من فضلك ؟"
13654,I am far from my friend. We would like to sit together.,أنا وصاحبي تفارقنا، كنا باغيين نبقاو مع بعضياتنا.,إنني بعيد عن صديقي ، نود لو نجلس معاً .
13657,I don't speak German very well.,أنا ماشي مزيان فاللغة لألمانية.,لا أحسن الألمانية كثيراً .
13658,I'll take this shirt. How much is it ?,غادي ناخد هاد القميجة. شحال كتسوى؟,سآخذ هذا القميص . كم ثمنه ؟
13659,It's too much.,هاد الشي بزاف.,إنه كثير جداً .
13660,We must meet again for sure.,خاصنا بالتأكيد نعاودو نتلاقاو.,لابد أن نجتمع ثانية بالتأكيد .
13662,"Walk a straight path, and you will find them.",غير سير نيشان، وغادي تلقاه.,سر في طريق مستقيم ، وسوف تجدهم .
13663,"Yes, the actor who plays the main role is excellent.",نعم، الممثل اللي لعب الدور الرئيسي كان ممتاز.,نعم ، إن الممثل الذي يؤدي الدور الرئيس ممتاز .
13664,"Yes, unfortunately. Our main office is located here. what about you ? Is this your first visit here?",نعم، للأسف. المكتب الرئيسي ديالنا كاين هنا. واشنو انتا؟ هادي أول مرة كتجي؟,نعم ، لسوء الحظ . مكتبنا الرئيسي يقع هنا . وماذا عنك ؟ هل هي أول زيارة لك هنا ؟
13666,Would you take these pants?,واش تضيق هاد السراول؟,هلا أخذت هذه السراويل ؟
13667,I will write to you after returning to my country.,غادي نكتب ليك منين نرجع للدار.,سوف أكتب لك بعد العودة إلى بلدي .
13670,Can we take an ocean view room?,نقدرو ناخدو غرفة كتطل على المحيط؟,هل نستطيع أن نأخذ غرفة تطل على المحيط ؟
13671,Can I smoke here?,واش يمكن نكمي هنا؟,هل يمكن أن أدخن هنا ؟
13672,Why this amount?,ديالاش هاد المبلغ؟,لماذا هذا المبلغ ؟
13675,Are you passing through New Orleans?,واش كتدوز على نيو أورليانز؟,هل تمر عبر نيو أورليانز ؟
13676,Can we rent a hall?,يمكن لينا نكريو شي ملعب؟,هل نستطيع تأجير قاعة ؟
13677,Wish I could get a new car?,كنتمنى نشري شي طوموبيلة جديدة.,أتمنى أن أخذ سيارة جديدة ؟
13679,Please direct us to a good restaurant nearby.,عافاك انصحني بشي مطعم ازوين يكون قريب.,من فضلك ارشدنا إلى مطعم جيد قريب .
13680,What is your name ? What are your official ranks?,اشنو اسميتك؟ والرتبة الرسمية ديالك؟,ما هو اسمك ؟ وما هي رتبك الرسمية ؟
13682,Can I borrow a racket and balls?,يمكن لي نتسلف مضرب وشي كرات؟,هل يمكنني استعارة مضرب وكرات ؟
13683,"Sure, we'll bring her to the lobby at nine.",أكيد، غادي يكون عندهوم فبهو الأوطيل تسعود.,بالتأكيد ، سوف نحضرها إلى الردهة في التاسعة .
13685,Can you bring a little change with him?,واش يمكن ليك تدخل شي صرف؟,هل يمكن أن تدخل معه فكة صغيرة ؟
13686,Do you accept checks in Japanese Yen?,يمكن ليك تقبل شيك بالين الياباني؟,هل تقبلون بشيك بالين الياباني ؟
13689,Which bus to take to get to the Statue of Liberty?,أشمن طوبيس نشد باش نمشي لتمثال الحرية؟,أي حافلة استقل للوصول إلى تمثال الحرية ؟
13691,I would like to leave my bags.,بغيت نخلي الأمتعة ديالي.,أود أن أترك حقائبي .
13692,"Sorry . I bought this jacket yesterday, but found a great spot here.",اسمح ليا. اشريت هاد الجاكيت البارح، بلحاق لقيت فيها طبعة كبيرة هنا.,عفواً . لقد اشتريت هذا الجاكيت بالأمس ، لكن وجدت بقعة كبيرة هنا .
13694,Can I take half a jug?,ممكن نحصل على نص ابريق؟,هل يمكن أن أخذ نصف إبريق ؟
13699,This is my uncle.,هادا عمي.,هذا هو عمي .
13701,I would like to change the room.,بغيت نبدل الغرف.,أود تغيير الغرفة .
13703,Do you have this in a medium-large size?,عندك هادي فالمتوسط -الكبير؟,هل يوجد لديكم هذا بمقاس متوسط الكبير ؟
13705,Can I change my seat forward?,واش يمكن ليا نبدل بلاصتي باش نمشي للقدام؟,هل أستطيع تغيير مقعدي نحو الأمام ؟
13707,regards . I am John .,مرحبا. أنا جون.,تحية . أنا جون .
13708,I better go.,من الأحسن نمشي.,يحسن بي أن اذهب .
13709,Are you Mrs. Ebert? I'm Hiroshi Sato. Nice to meet you.,واش انتيا السيدة إيبيرت؟ أنا هيروشي ساتو. متشرف بمعرفتك.,هل أنت السيدة إيبرت ؟ أنا هيروشي ساتو . سررت للقائك .
13711,I have a flat tire.,عندي ارويضة مفشوشة.,عندي إطار فارغ من الهواء .
13713,I will stop at the cathedral.,غادي نهبط للكاتدرائية.,سوف أنزل عند الكاتدرائية .
13715,I want a pot of boiling water.,بغيت شي طاسة دلما غليان.,أريد إناءاً من الماء المغلي .
13717,Nakai.,ناكي.,ناكاي .
13718,What is the total payment if I buy three?,شحال غادي يسوى إدا شريت منو تلاتة؟,كم إجمالي الدفع لو اشتريت ثلاثة ؟
13719,Do you mind if I take a picture of you and your taxi?,واش غادي نزعجك إلا صورتك انتا والطاكسي ديالك؟,هل تمانع إذا التقطت صورة لك ولسيارتك الأجرة ؟
13720,"Could you call a taxi for me, please?",تقدر تتصل ليا بالطاكسي، عافاك؟,هلا استدعت سيارة أجرة لي ، من فضلك ؟
13723,"No smoking, please.",ممنوع التدخين، عافاك.,"لا تدخين , من فضلك ."
13724,Tomorrow.,غدا.,الغد .
13726,Mail order may be better. It's cheaper.,الطلب بالبريد يقدر يكون أحسن. راه رخيص.,قد يكون الطلب بالبريد أفضل . إنه أرخص .
13727,White shoulder bag.,حقيبة الكتف بييضاء.,حقيبة كتف بيضاء .
13730,"Just a trim, please.",غير يترتب، عافاك.,مجرد تشذيب ، من فضلك .
13732,I have to be at the airport by eight tomorrow morning.,خاصني نكون فالمطار غدا مع التمنية دالصباح.,يجب أن أكون في المطار بحلول الثامنة صباح الغد .
13733,I called three days ago about a lost bag.,كنتصل على ود واحد الصاك ضايع ليا هادي تلتيام.,لقد اتصلت منذ ثلاثة أيام بخصوص حقيبة ضائعة .
13734,"I don't know what it is, but I will try it.",ماعلرفتش اشنو هاد الشي، بلحاق غادي نجربو.,لا أعرف ما هو ، لكني سوف أجربه .
13735,Did you see a black coat here?,واش شفتي واحد الكبوط اكحل هنا؟,هل رأيت معطفاً أسود هنا ؟
13736,"You've exceeded the limit, so go to window three.",انتا راك فايت الحدود، إذن سير للنافذة تلاتة.,لقد تجاوزت الحد ، لذلك اذهب إلى الشباك ثلاثة .
13738,Can I take a room facing the mountain?,واش نقدر نحصل على غرفة فجهة الجبل؟,هل يمكن أن أخذ غرفة ناحية الجبل ؟
13739,I forgot my camera in the taxi.,خليت الكاميرا ديالي فالكابين.,نست آلة التصوير الخاصة بي في سيارة الأجرة .
13740,Who will perform in the show?,شكون غادي يلعب فالعرض؟,من سيؤدي في العرض ؟
13741,By air mail or regular mail?,بالبريد الجوي أو لا البريد الأرضي والبحري؟,بالبريد الجوي أم بالبريد العادي ؟
13743,"One hundred dollars in cash, three hundred dollars in bank checks, and my credit card.",مية دولار صرف، تلتمية دولار شيكات سياحية وبطاقة الإئتمان ديالي.,مائة دولار نقدا ، ثلاثمائة دولار شيكات مصرفية ، وبطاقتي الائتمانية .
13745,How much will the price be?,شحال غادي يكون؟,كم سيكون السعر ؟
13748,I want a cheaper hotel.,بغيت أرخص أوطيل.,أريد فندقاً ارخص .
13749,Do I have to fill out a customs form?,واش نعمر استمارة التصريح الجمركي؟,هل علىّ أن أملأ استمارة جمركية ؟
13751,I want to use the tennis court.,بغيت نستعمل ملعب التنس.,أريد استخدام ملعب التنس .
13755,"Oh, there's so much to see in Greenwich Village.",أوه، كاين بزاف دلحاجات خاصك تشوفهوم فغرينويتش فيلاج.,أوه ، هناك الكثير مما يجب أن تراه في قرية جرينتش .
13757,Never say die.,ما عمرك تيأس.,لا تقول يموت أبداً .
13761,"I want some milk, do you have it?",بغيت شوية دلحليب، عندك منو؟,أريد بعض اللبن ، هل لديكم ؟
13763,Can I change these tickets to tomorrow's show?,ممكن نبدل هاد التذاكر للعرض ديال غدا؟,هل يمكنني تغيير هذه التذاكر إلى عرض الغد ؟
13764,Could you please tell me the code to call Japan?,تقدر تقول لي كود التلفون الدولي ديال اليابان؟,هلا أخبرتني بالرقم الكودي للاتصال باليابان ؟
13765,How long will I have to wait for the train to arrive at the station platform?,شحال دلوقت خاصني نتسنى القطار قبل ما يدخل المحطة؟,كم سأنتظر القطار إلى أن يصل على رصيف المحطة ؟
13767,Can I enter here for a United Airlines flight?,واش يمكن ليا نتسجل هنا في الرحلة الجوية ديال خطول يونايتد؟,هل يمكن أن أدخل هنا لرحلة شركة الطيران المتحدة ؟
13768,Do we have to wear a jacket and tie for the evening tour?,واش خاصنا نلبسو الكبوط والكرافاط للجولة الليلية؟,هل علينا ارتداء سترة ورابطة عنق للجولة المسائية ؟
13769,at work . I have business connections there.,فالأعمال. عني علاقات تجارية تما.,في عمل . لدي صلات عمل هناك .
13770,At what speed do we fly?,اشمن سرعة احنا طايرين بيها؟,على أية سرعة نطير ؟
13772,Can you remove the price tags? please ?,تقدر تحيد لصاقات ديال الثمن، عافاك؟,هل يمكن أن تنزع علامات السعر . من فضلك ؟
13773,I'm at the corner of Route Five and Forty-One Street.,أنا فلقنت ديال الشارع خمسة والزنقة واحد وربعين.,إنني عند ناصية الطريق خمسة والشارع واحد وأربعون .
13774,"A large bottle of coke, please.",واحد كوكا كبيرة، عافاك.,زجاجة كوكا كبيرة من فضلك .
13775,I want to take a shower before my meal.,بغيت ندوش قبل ما ناكل.,أريد أن استحم قبل وجبتي .
13776,Your hair is beautiful.,شعرك ازوين.,إن شعرك جميل .
13777,"What ? Are you going to accuse me? Ha, ha, ha I've become insensitive. Does your mother know about this?",اشنو؟ غادي تطلب مني الفلوس؟ ها، ها، ها. الاستهزاء ديالك قاصح. واش ماماك فخبارها هاد الشي؟,ماذا ؟ هل ستتهمني . ها ، ها ، ها لقد أصبحت عديم الحساسية . هل تعلم والدتك بهذا ؟
13778,Did you order a special meal?,واش طلبتي شي أكلة خاصة؟,هل طلبت وجبة خاصة ؟
13779,I have to wake up early tomorrow. So I will go now.,غادي نفيق بكري غدا. خاصني نمشي.,علىّ الاستيقاظ مبكراً غدا . لذا سأذهب الآن .
13780,Am I part of this?,واش أنا محسوب فهاد الشي؟,هل أنا جزء من هذا ؟
13781,How much do you think it will cost me to go from here to the airport?,شحا كتضن غادي يكلف من هنا للمطار؟,كم يكلفني في رأيك الذهاب من هنا إلى المطار ؟
13782,How do you like your meat cooked?,كيفاش كتبغي طياب اللحم؟,كيف تحب أن يكون طهو اللحم الذي تتناوله ؟
13783,It matches your uniform.,كيواتي اللبسة ديالك.,إنه يلائم بزتك .
13784,Would you please watch my bag?,واش تقدر تدير بالك مع الباليزة ديالي؟,هلا راقبت حقيبتي من فضلك ؟
13785,Could you please tell me how to get to Westminster Abbey?,واش يمكن ليك تقول لي كيفاش نوصل لإبيي وستمنستر؟,هلا قلت لي كيف أصل على دير وستنمستر ؟
13786,"Oh, what a luxury it is to play golf in Australia?",أوه، رفاهية كبيرة باش تلعب الغولف فأستراليا.,أوه ، يا له من ترف أن تلعب الجولف في استراليا ؟
